iter	Logloss
0	0.6742630993
1	0.6556646741
2	0.6436528041
3	0.6314446174
4	0.6219762759
5	0.6142469486
6	0.6084034843
7	0.6016463815
8	0.5969233936
9	0.5932693804
10	0.5884778477
11	0.5847884644
12	0.5814250013
13	0.5785904498
14	0.5755348086
15	0.5727968087
16	0.5708499675
17	0.5684762276
18	0.5664563013
19	0.5648458829
20	0.5631364224
21	0.561086547
22	0.5589670293
23	0.5577557885
24	0.5560653608
25	0.554580237
26	0.5525930438
27	0.5501322901
28	0.5487246232
29	0.547527846
30	0.5464486918
31	0.545061074
32	0.5436660867
33	0.5429718918
34	0.5418236074
35	0.5402401682
36	0.5391772425
37	0.5381765142
38	0.5368847926
39	0.5355857294
40	0.5343834083
41	0.5332752797
42	0.5320683753
43	0.5302873283
44	0.5291417627
45	0.5282513932
46	0.5272962385
47	0.5267123712
48	0.5250110471
49	0.5238139988
50	0.5230485361
51	0.5223444144
52	0.5214635657
53	0.5207189766
54	0.5200990083
55	0.5194740926
56	0.5187577119
57	0.518114863
58	0.5172501794
59	0.516689509
60	0.5160610929
61	0.5154486077
62	0.5150168828
63	0.5136846977
64	0.5130029468
65	0.511971138
66	0.5111873419
67	0.5102452546
68	0.5095741531
69	0.5087102904
70	0.5078405189
71	0.5072049109
72	0.5067793421
73	0.5056237041
74	0.5050472379
75	0.504026322
76	0.5027148739
77	0.502202246
78	0.5014367174
79	0.5007412758
80	0.5003318122
81	0.4996829175
82	0.4992535975
83	0.4982161433
84	0.4976448849
85	0.4969455598
86	0.4961065139
87	0.4956626143
88	0.49496577
89	0.4941783961
90	0.493579667
91	0.4925589922
92	0.4916297025
93	0.4910464532
94	0.490164129
95	0.4892818797
96	0.488462652
97	0.4876938828
98	0.4869913214
99	0.4859808902
