iter	Passed	Remaining
0	4	453
1	9	460
2	12	417
3	17	421
4	22	422
5	26	414
6	30	405
7	34	402
8	40	410
9	45	409
10	50	412
11	55	404
12	59	397
13	63	390
14	68	390
15	74	390
16	79	390
17	85	388
18	89	381
19	93	375
20	97	368
21	101	361
22	106	356
23	110	348
24	113	341
25	117	335
26	121	329
27	127	327
28	133	327
29	138	322
30	142	317
31	147	314
32	153	311
33	158	307
34	164	305
35	169	301
36	174	296
37	180	295
38	186	292
39	192	288
40	196	283
41	201	278
42	205	272
43	210	267
44	214	262
45	218	256
46	222	251
47	227	246
48	231	241
49	235	235
50	239	230
51	243	225
52	247	219
53	251	214
54	256	209
55	261	205
56	264	199
57	269	194
58	272	189
59	276	184
60	280	179
61	285	174
62	289	170
63	293	165
64	296	159
65	301	155
66	305	150
67	309	145
68	313	140
69	317	135
70	320	131
71	324	126
72	328	121
73	332	116
74	336	112
75	339	107
76	343	102
77	347	98
78	351	93
79	355	88
80	358	84
81	363	79
82	367	75
83	370	70
84	374	66
85	378	61
86	382	57
87	386	52
88	390	48
89	393	43
90	397	39
91	401	34
92	404	30
93	408	26
94	411	21
95	415	17
96	419	12
97	425	8
98	429	4
99	433	0
